Date,Shift,Machine_ID,Operator_ID,Fabric_Type,Target_Output_Meters,Actual_Output_Meters,Defect_Rate_Percent,Machine_Downtime_Minutes,Power_Consumption_kWh,Rework_Required_Meters,Operator_Experience_Years,Ambient_Temperature_C,Humidity_Percent,Production_Efficiency_Percent,Comments
2024-03-20,Morning,M010,O012,Cotton,923,900,2.52,3,391.82,38,9.0,30.7,69.2,97.51,Smooth
2024-03-27,Afternoon,M019,O001,Cotton,901,762,6.41,6,379.94,24,5.7,27.2,76.5,84.57,Smooth
2024-04-06,Night,M012,O034,Blend,849,601,3.16,0,388.31,13,10.3,33.0,55.8,70.79,Smooth
2024-01-20,Afternoon,M006,O036,Polyester,1155,1157,4.54,5,360.9,56,6.0,27.1,42.5,100.17,Humidity Issue
2024-02-19,Night,M018,O036,Cotton,1036,865,5.06,1,246.75,22,2.2,27.9,75.3,83.49,Breakdown
2024-04-27,Night,M011,O017,Blend,1005,870,3.87,10,449.64,10,12.3,27.7,77.6,86.57,Smooth
2024-01-30,Night,M003,O040,Cotton,1096,1051,9.55,1,472.23,34,6.3,28.4,53.5,95.89,Smooth
2024-03-05,Afternoon,M014,O032,Polyester,1117,838,3.92,1,307.98,10,8.5,32.0,63.8,75.02,Smooth
2024-04-12,Afternoon,M001,O045,Cotton,923,968,5.77,4,359.24,12,8.7,34.2,76.3,104.88,Humidity Issue
2024-02-19,Night,M016,O020,Polyester,1172,1006,2.96,1,338.92,34,1.7,26.6,77.6,85.84,Smooth
2024-02-21,Night,M013,O030,Polyester,1083,1085,5.87,17,347.71,38,12.5,27.5,71.3,100.18,Smooth
2024-03-20,Morning,M017,O035,Polyester,974,789,9.41,1,377.98,9,6.4,27.6,60.7,81.01,Low Quality Yarn
2024-03-18,Night,M015,O011,Cotton,1188,1107,9.36,11,418.96,53,0.8,29.7,79.3,93.18,Smooth
2024-04-17,Morning,M020,O010,Cotton,1050,771,8.14,3,341.25,27,6.0,26.8,42.2,73.43,Humidity Issue
2024-03-02,Morning,M015,O026,Cotton,1074,1009,9.02,4,335.33,12,12.4,25.7,73.1,93.95,Smooth
2024-01-12,Night,M020,O040,Cotton,1097,1025,3.53,16,413.46,36,11.9,30.6,63.9,93.44,Smooth
2024-01-19,Afternoon,M004,O031,Cotton,1018,881,9.58,7,282.8,30,8.8,31.5,47.4,86.54,Low Quality Yarn
2024-03-06,Night,M012,O044,Cotton,1070,774,6.04,14,272.78,28,1.7,30.4,57.7,72.34,Smooth
2024-04-30,Night,M014,O028,Cotton,1089,833,1.84,2,323.09,21,7.9,29.6,59.3,76.49,Low Quality Yarn
2024-03-23,Night,M010,O014,Blend,1081,922,8.39,1,313.62,11,8.8,30.0,62.6,85.29,Operator Absent
2024-04-30,Morning,M006,O050,Blend,1148,1206,5.58,32,455.18,14,14.2,31.8,73.7,105.05,Smooth
2024-03-09,Morning,M013,O011,Cotton,1026,839,0.77,1,268.12,20,14.8,30.4,67.4,81.77,Humidity Issue
2024-01-04,Night,M015,O002,Polyester,864,932,1.43,4,310.53,9,10.2,30.3,65.7,107.87,Smooth
2024-01-11,Morning,M018,O048,Polyester,1031,891,4.9,5,355.52,34,5.1,31.5,55.7,86.42,Smooth
2024-02-29,Morning,M017,O011,Cotton,836,664,0.97,1,381.04,21,7.4,33.1,76.9,79.43,Smooth
2024-02-09,Morning,M018,O049,Blend,899,655,2.81,4,375.14,28,3.8,29.0,56.0,72.86,Smooth
2024-04-23,Morning,M017,O035,Polyester,1118,965,9.78,1,320.13,37,6.6,33.2,63.1,86.31,Smooth
2024-01-24,Afternoon,M013,O042,Cotton,977,1009,8.04,20,357.99,15,6.5,28.9,61.9,103.28,Smooth
2024-04-21,Afternoon,M017,O023,Blend,1094,942,5.2,56,369.92,24,2.4,27.5,46.3,86.11,Smooth
2024-02-03,Morning,M018,O041,Cotton,1086,1172,8.8,23,418.4,34,6.6,26.5,54.3,107.92,Smooth
2024-04-16,Afternoon,M002,O026,Cotton,1058,991,5.76,1,478.5,32,3.5,25.9,69.7,93.67,Smooth
2024-01-30,Night,M018,O011,Cotton,927,658,3.55,15,268.93,24,8.7,31.3,71.8,70.98,Smooth
2024-04-26,Afternoon,M020,O043,Polyester,884,878,6.1,6,330.09,23,9.2,28.2,60.5,99.32,Smooth
2024-02-27,Morning,M005,O023,Blend,1193,972,0.06,6,399.7,10,9.0,27.3,77.7,81.48,Low Quality Yarn
2024-01-04,Afternoon,M002,O046,Cotton,1200,923,4.72,0,392.63,24,8.1,36.4,75.9,76.92,Smooth
2024-02-08,Morning,M020,O028,Cotton,806,627,0.23,19,396.81,21,12.2,30.6,57.2,77.79,Smooth
2024-03-29,Night,M020,O018,Blend,1172,1171,9.13,8,321.39,21,4.1,27.6,52.3,99.91,Humidity Issue
2024-03-09,Morning,M004,O020,Polyester,1149,1059,5.88,5,313.75,14,3.0,30.6,60.7,92.17,Power Cut
2024-04-20,Afternoon,M016,O020,Blend,1098,862,2.83,5,416.85,36,14.0,33.5,40.8,78.51,Smooth
2024-02-18,Night,M006,O012,Blend,1111,846,8.86,6,445.16,31,14.0,32.3,79.9,76.15,Humidity Issue
2024-01-17,Night,M019,O040,Polyester,1116,1102,2.87,21,336.17,20,2.5,31.4,74.4,98.75,Operator Absent
2024-04-26,Night,M002,O016,Blend,1077,969,6.75,2,389.59,21,6.5,32.4,48.4,89.97,Smooth
2024-04-21,Night,M015,O019,Polyester,970,1057,6.46,27,400.22,42,10.5,27.9,78.6,108.97,Operator Absent
2024-04-06,Afternoon,M019,O023,Cotton,1088,932,1.31,11,376.55,17,7.8,34.9,52.5,85.66,Low Quality Yarn
2024-02-21,Morning,M014,O003,Polyester,894,778,6.45,13,324.93,16,3.4,25.7,71.3,87.02,Smooth
2024-04-26,Morning,M010,O030,Polyester,904,961,3.7,13,274.59,12,7.5,26.5,44.4,106.31,Operator Absent
2024-01-04,Morning,M009,O033,Polyester,886,708,3.17,16,331.13,31,12.9,32.2,70.6,79.91,Humidity Issue
2024-01-25,Night,M005,O017,Polyester,851,645,6.9,29,293.28,19,9.9,33.7,60.4,75.79,Smooth
2024-03-30,Afternoon,M008,O013,Blend,921,688,3.12,16,343.56,25,11.4,31.0,72.5,74.7,Smooth
2024-04-03,Night,M013,O010,Polyester,819,883,3.13,19,370.1,35,10.3,27.8,50.1,107.81,Smooth
2024-04-29,Afternoon,M009,O041,Polyester,1154,1210,1.69,0,339.81,53,6.1,35.4,46.7,104.85,Smooth
2024-04-07,Morning,M003,O026,Blend,1077,1114,5.49,2,354.56,38,7.2,35.4,73.1,103.44,Smooth
2024-02-17,Morning,M002,O031,Polyester,964,994,7.09,1,373.65,37,5.8,32.8,75.2,103.11,Humidity Issue
2024-04-27,Night,M014,O004,Cotton,1190,1178,1.13,5,353.64,41,4.4,30.6,50.0,98.99,Smooth
2024-04-29,Afternoon,M009,O041,Cotton,933,1004,2.98,14,298.87,10,8.4,29.1,79.0,107.61,Power Cut
2024-02-09,Night,M012,O011,Polyester,1103,934,3.57,4,213.89,42,7.8,32.8,60.3,84.68,Smooth
2024-04-15,Morning,M004,O047,Cotton,942,711,9.83,2,360.74,24,6.5,28.3,56.9,75.48,Smooth
2024-04-09,Afternoon,M020,O028,Cotton,902,914,1.96,17,300.23,25,4.2,35.5,70.1,101.33,Smooth
2024-02-27,Morning,M015,O008,Blend,1163,1052,3.21,9,349.86,49,5.5,30.1,42.2,90.46,Smooth
2024-03-25,Afternoon,M012,O049,Polyester,877,685,4.19,2,373.94,11,2.2,32.0,42.7,78.11,Power Cut
2024-03-11,Night,M001,O049,Polyester,1145,1133,9.29,5,351.7,27,5.9,26.9,64.9,98.95,Low Quality Yarn
2024-01-09,Night,M001,O037,Polyester,1151,1136,1.11,0,344.68,47,5.4,28.6,57.8,98.7,Low Quality Yarn
2024-03-12,Morning,M001,O035,Blend,1167,1132,5.09,19,339.38,56,7.5,34.5,79.5,97.0,Smooth
2024-04-13,Night,M005,O033,Cotton,805,806,2.49,7,364.42,19,0.6,28.3,56.1,100.12,Operator Absent
2024-02-21,Afternoon,M007,O039,Polyester,891,707,8.19,4,296.81,13,1.5,27.6,47.5,79.35,Smooth
2024-04-26,Morning,M009,O024,Polyester,1137,1048,2.91,5,396.0,48,7.6,29.1,53.2,92.17,Low Quality Yarn
2024-01-06,Morning,M018,O021,Cotton,1076,799,9.53,0,297.18,18,2.9,26.8,71.3,74.26,Smooth
2024-02-19,Night,M013,O035,Cotton,1107,829,6.35,1,374.25,26,1.6,28.6,78.2,74.89,Smooth
2024-02-11,Night,M006,O044,Cotton,1016,811,8.6,1,428.49,38,13.7,30.2,72.8,79.82,Smooth
2024-01-04,Afternoon,M020,O049,Blend,1163,1227,1.99,3,307.39,31,8.4,25.6,46.4,105.5,Breakdown
2024-02-19,Morning,M015,O046,Cotton,897,875,1.68,3,422.29,34,9.9,30.0,46.2,97.55,Operator Absent
2024-02-26,Afternoon,M003,O003,Cotton,814,747,0.87,4,324.82,15,14.4,29.7,78.1,91.77,Smooth
2024-02-19,Night,M012,O015,Cotton,952,800,0.43,1,377.87,12,11.6,29.6,44.3,84.03,Smooth
2024-02-16,Night,M013,O022,Polyester,988,1079,3.82,14,409.86,19,2.6,25.6,77.5,109.21,Breakdown
2024-02-29,Morning,M017,O021,Polyester,873,931,8.87,9,287.53,32,5.7,26.7,45.9,106.64,Smooth
2024-03-04,Morning,M018,O009,Polyester,1108,1039,8.14,4,336.09,20,4.8,29.0,65.7,93.77,Smooth
2024-04-10,Afternoon,M012,O002,Blend,821,772,6.96,4,325.63,22,12.1,31.6,47.2,94.03,Smooth
2024-04-21,Morning,M004,O044,Blend,1022,760,8.84,4,294.5,9,9.3,33.4,49.6,74.36,Power Cut
2024-03-27,Morning,M005,O020,Cotton,1046,894,0.81,1,323.19,41,0.6,29.2,59.4,85.47,Breakdown
2024-04-08,Afternoon,M018,O050,Blend,817,612,3.08,26,383.14,19,13.3,27.6,62.2,74.91,Operator Absent
2024-01-11,Morning,M013,O038,Blend,1161,1060,1.95,1,337.69,26,11.5,31.8,53.6,91.3,Smooth
2024-01-10,Morning,M013,O005,Cotton,898,970,7.38,9,337.98,18,11.3,25.0,76.8,108.02,Smooth
2024-04-26,Afternoon,M020,O004,Blend,987,858,3.42,32,321.21,20,13.7,21.3,62.8,86.93,Smooth
2024-02-23,Morning,M012,O010,Polyester,938,942,8.12,4,407.56,23,12.0,29.3,77.6,100.43,Smooth
2024-04-26,Afternoon,M016,O008,Cotton,1024,972,7.42,16,333.37,11,6.3,33.3,67.0,94.92,Smooth
2024-04-12,Afternoon,M002,O022,Cotton,1014,892,7.49,4,293.23,35,8.4,31.5,48.2,87.97,Smooth
2024-01-14,Night,M003,O014,Cotton,1174,958,7.49,6,305.79,43,8.1,22.2,68.3,81.6,Smooth
2024-02-18,Night,M017,O023,Blend,1064,852,4.47,1,387.63,37,8.5,26.4,46.1,80.08,Smooth
2024-03-03,Afternoon,M011,O029,Polyester,895,887,6.0,13,256.98,31,1.5,32.6,75.9,99.11,Smooth
2024-03-22,Morning,M011,O029,Polyester,1194,892,3.28,16,267.72,25,12.9,34.5,53.6,74.71,Smooth
2024-03-18,Morning,M007,O043,Polyester,1138,1192,0.88,14,333.55,32,2.9,31.1,68.3,104.75,Smooth
2024-04-26,Night,M010,O035,Polyester,1055,964,6.35,2,381.51,42,10.2,24.4,57.4,91.37,Smooth
2024-02-27,Morning,M020,O010,Blend,1076,1163,7.19,26,265.53,14,11.0,30.6,44.9,108.09,Low Quality Yarn
2024-01-24,Night,M018,O026,Polyester,1138,934,5.32,8,292.49,23,9.4,31.0,78.8,82.07,Power Cut
2024-03-08,Morning,M002,O031,Blend,1061,1051,9.23,14,286.28,38,9.5,31.1,64.1,99.06,Smooth
2024-02-09,Morning,M014,O020,Polyester,1171,1049,5.29,4,279.39,44,3.2,30.3,43.4,89.58,Smooth
2024-02-26,Night,M013,O036,Cotton,843,737,6.58,5,372.18,17,14.0,24.9,76.9,87.43,Smooth
2024-03-17,Night,M001,O016,Blend,865,779,3.28,13,348.51,18,13.8,28.4,40.5,90.06,Smooth
2024-01-05,Night,M017,O025,Polyester,880,810,7.41,6,469.54,15,7.5,31.1,57.2,92.05,Smooth
2024-01-04,Afternoon,M004,O044,Blend,905,660,1.06,18,314.25,19,11.6,28.2,42.5,72.93,Humidity Issue
2024-01-30,Morning,M013,O011,Cotton,805,749,1.19,0,408.88,15,6.6,29.4,41.6,93.04,Smooth
2024-04-19,Night,M007,O034,Blend,912,802,5.78,8,288.24,11,5.8,26.6,44.0,87.94,Humidity Issue
2024-02-04,Night,M001,O028,Polyester,882,887,9.66,35,364.03,33,4.6,33.0,65.2,100.57,Smooth
2024-01-05,Night,M002,O007,Cotton,843,743,4.82,14,301.82,34,1.3,26.5,59.4,88.14,Smooth
2024-02-21,Afternoon,M007,O021,Cotton,846,901,6.1,7,311.48,39,8.6,26.3,60.6,106.5,Smooth
2024-02-19,Night,M019,O003,Polyester,950,702,0.16,33,418.5,9,10.4,25.1,77.3,73.89,Breakdown
2024-04-13,Afternoon,M015,O032,Polyester,962,894,1.26,8,324.94,40,9.9,34.3,76.0,92.93,Smooth
2024-01-07,Night,M013,O024,Blend,825,783,1.31,3,388.18,17,3.2,33.4,70.3,94.91,Breakdown
2024-01-20,Morning,M008,O021,Blend,918,816,2.26,9,345.35,23,2.6,29.3,79.4,88.89,Breakdown
2024-04-06,Morning,M005,O009,Polyester,989,775,1.3,2,329.63,25,0.8,34.4,41.4,78.36,Smooth
2024-04-13,Morning,M008,O015,Polyester,990,869,8.17,21,353.99,40,6.1,27.4,73.2,87.78,Humidity Issue
2024-02-01,Afternoon,M010,O020,Polyester,1185,892,9.35,13,358.35,21,14.1,31.3,51.0,75.27,Humidity Issue
2024-04-08,Morning,M015,O024,Polyester,802,667,7.01,14,382.47,8,6.1,32.4,51.3,83.17,Breakdown
2024-03-21,Morning,M016,O030,Cotton,850,698,9.83,10,410.61,19,13.1,28.5,47.2,82.12,Smooth
2024-02-17,Afternoon,M010,O033,Blend,1019,1099,2.19,3,320.59,37,6.9,34.3,69.7,107.85,Smooth
2024-01-01,Morning,M014,O032,Polyester,1196,946,0.58,3,286.43,22,6.3,29.7,42.3,79.1,Smooth
2024-03-04,Afternoon,M003,O014,Polyester,1069,997,8.84,1,434.22,26,10.7,33.0,56.4,93.26,Low Quality Yarn
2024-03-26,Morning,M012,O030,Cotton,1080,974,0.07,11,335.91,24,14.7,30.3,56.8,90.19,Humidity Issue
2024-04-21,Night,M002,O048,Cotton,1029,926,9.1,12,416.9,41,7.1,31.1,59.0,89.99,Smooth
2024-03-03,Night,M003,O001,Blend,1073,916,9.67,11,311.71,29,6.5,29.9,75.1,85.37,Smooth
2024-03-12,Morning,M002,O033,Blend,868,678,8.26,8,256.9,19,12.9,30.3,52.2,78.11,Breakdown
2024-04-01,Morning,M019,O047,Cotton,1124,873,1.29,3,342.36,16,2.9,34.5,53.3,77.67,Smooth
2024-01-06,Morning,M003,O031,Polyester,1088,1170,3.43,44,283.54,53,7.2,29.8,68.4,107.54,Power Cut
2024-02-02,Night,M009,O040,Blend,831,908,0.5,1,301.39,15,1.1,32.9,40.9,109.27,Breakdown
2024-03-19,Night,M009,O049,Blend,1011,1020,1.34,6,284.56,11,11.9,35.8,40.4,100.89,Smooth
2024-04-18,Night,M004,O031,Blend,868,872,8.93,5,264.59,22,13.4,37.9,75.8,100.46,Smooth
2024-01-10,Morning,M011,O022,Blend,972,810,6.15,26,350.54,22,4.5,31.7,78.4,83.33,Smooth
2024-03-25,Afternoon,M005,O029,Blend,814,616,5.8,3,316.21,30,1.3,25.3,63.1,75.68,Smooth
2024-01-25,Afternoon,M014,O046,Cotton,907,664,1.55,5,264.76,15,1.8,30.2,52.1,73.21,Smooth
2024-02-19,Night,M007,O043,Blend,1050,1140,9.45,4,392.35,11,12.3,30.4,77.9,108.57,Smooth
2024-04-10,Morning,M002,O026,Polyester,1166,858,1.61,32,333.98,17,7.0,30.1,67.7,73.58,Smooth
2024-03-08,Morning,M012,O037,Polyester,815,809,9.95,3,449.42,21,3.0,36.8,79.1,99.26,Smooth
2024-01-25,Morning,M011,O041,Blend,921,959,4.98,9,362.21,36,8.0,25.4,79.6,104.13,Humidity Issue
2024-04-21,Night,M016,O005,Cotton,930,878,3.71,14,330.18,20,6.8,26.6,71.3,94.41,Smooth
2024-04-19,Morning,M010,O032,Cotton,1115,996,7.94,8,403.66,19,3.8,28.4,60.2,89.33,Smooth
2024-03-12,Morning,M004,O021,Cotton,945,760,0.09,10,204.78,36,8.8,31.8,74.5,80.42,Smooth
2024-02-04,Night,M016,O040,Polyester,964,728,5.69,20,431.58,18,1.8,31.9,58.3,75.52,Low Quality Yarn
2024-01-27,Afternoon,M014,O009,Cotton,916,785,8.67,2,312.48,35,14.5,26.3,57.7,85.7,Low Quality Yarn
2024-04-26,Night,M010,O048,Polyester,881,729,5.26,11,396.98,8,1.2,27.3,55.5,82.75,Smooth
2024-02-23,Afternoon,M017,O019,Polyester,1117,939,3.16,6,299.67,21,14.6,28.2,56.4,84.06,Smooth
2024-01-20,Morning,M005,O023,Cotton,1182,1037,5.77,40,388.95,40,9.3,26.7,43.5,87.73,Smooth
2024-03-07,Morning,M018,O004,Cotton,878,852,0.64,9,308.79,37,0.9,32.0,73.8,97.04,Smooth
2024-03-10,Night,M016,O028,Cotton,955,844,2.18,1,321.67,29,8.4,26.6,45.0,88.38,Smooth
2024-01-08,Afternoon,M017,O044,Cotton,1185,966,2.39,2,432.49,18,5.8,27.8,55.6,81.52,Smooth
2024-03-24,Night,M016,O036,Blend,892,972,9.55,16,293.14,29,11.8,27.3,74.3,108.97,Humidity Issue
2024-03-01,Night,M015,O045,Blend,951,987,3.6,11,330.18,37,0.6,29.5,56.4,103.79,Breakdown
2024-01-15,Night,M019,O002,Blend,968,805,6.93,14,396.85,17,7.0,28.2,69.1,83.16,Smooth
2024-04-20,Afternoon,M012,O023,Blend,1059,1034,9.87,2,404.2,48,2.8,34.8,70.1,97.64,Breakdown
2024-02-07,Morning,M013,O024,Cotton,804,745,2.75,6,393.04,33,8.8,24.6,65.3,92.66,Smooth
2024-02-01,Morning,M011,O032,Polyester,1152,1045,0.51,2,251.7,18,7.8,29.8,52.9,90.71,Operator Absent
2024-01-30,Night,M005,O014,Blend,891,715,4.64,1,319.85,29,12.2,31.0,70.7,80.25,Low Quality Yarn
2024-01-31,Night,M013,O031,Blend,1025,764,6.44,17,442.95,21,8.2,32.9,41.4,74.54,Smooth
2024-02-06,Afternoon,M017,O022,Blend,940,898,0.81,5,369.81,13,10.5,24.6,71.8,95.53,Smooth
2024-04-10,Afternoon,M014,O035,Cotton,1042,797,1.04,1,353.94,22,2.0,33.2,66.0,76.49,Low Quality Yarn
2024-02-08,Night,M016,O047,Polyester,1072,1122,8.28,9,329.69,28,14.2,28.1,64.4,104.66,Smooth
2024-04-23,Night,M012,O027,Polyester,928,959,7.1,1,304.87,34,5.4,32.8,79.9,103.34,Low Quality Yarn
2024-02-10,Night,M012,O039,Polyester,857,690,2.79,26,388.17,33,14.6,31.5,42.6,80.51,Smooth
2024-02-19,Morning,M008,O021,Cotton,1160,1193,6.46,10,367.61,58,13.7,27.4,57.6,102.84,Smooth
2024-03-07,Night,M012,O006,Blend,1153,825,3.62,17,331.35,10,6.7,35.5,58.8,71.55,Smooth
2024-04-21,Afternoon,M005,O047,Cotton,951,1018,6.41,3,312.65,49,5.7,30.1,59.1,107.05,Smooth
2024-02-04,Afternoon,M008,O048,Polyester,1143,962,6.83,10,300.44,21,2.3,32.8,66.2,84.16,Smooth
2024-01-07,Morning,M001,O036,Polyester,1134,811,5.98,20,343.69,23,1.6,32.9,66.8,71.52,Smooth
2024-01-30,Morning,M008,O011,Polyester,959,986,2.45,5,365.54,17,2.0,25.3,76.4,102.82,Smooth
2024-03-05,Morning,M019,O048,Polyester,1036,1065,7.6,0,339.37,25,8.4,33.5,43.7,102.8,Humidity Issue
2024-01-27,Night,M001,O018,Cotton,1022,1024,5.82,2,325.41,12,9.0,28.5,73.6,100.2,Breakdown
2024-03-04,Morning,M014,O043,Polyester,1126,796,0.49,8,323.08,19,9.1,33.0,51.0,70.69,Breakdown
2024-01-24,Night,M003,O032,Cotton,1140,810,7.35,9,427.87,29,3.5,31.6,54.1,71.05,Smooth
2024-03-14,Night,M018,O041,Cotton,967,725,1.3,11,292.68,10,12.3,31.4,63.2,74.97,Low Quality Yarn
2024-03-30,Afternoon,M018,O018,Polyester,1094,1036,7.81,12,381.89,22,9.8,31.3,52.6,94.7,Smooth
2024-02-01,Morning,M017,O016,Blend,911,986,0.33,8,376.02,16,3.9,27.5,59.8,108.23,Smooth
2024-01-02,Morning,M005,O015,Cotton,891,949,2.12,1,350.19,44,2.6,34.9,65.8,106.51,Smooth
2024-02-11,Night,M014,O038,Cotton,1085,860,1.57,11,423.34,19,7.0,31.6,56.2,79.26,Smooth
2024-04-07,Afternoon,M013,O050,Blend,1145,1252,2.92,3,393.43,25,13.8,24.1,50.6,109.34,Smooth
2024-01-20,Morning,M006,O014,Cotton,819,866,1.03,10,347.54,41,10.3,31.5,52.1,105.74,Smooth
2024-01-11,Morning,M004,O016,Polyester,931,721,3.04,0,417.93,11,2.4,28.9,65.7,77.44,Humidity Issue
2024-02-15,Night,M015,O048,Polyester,1066,830,0.98,1,417.33,26,10.3,26.2,67.3,77.86,Smooth
2024-04-13,Morning,M010,O037,Cotton,1024,974,2.66,0,398.63,31,12.6,29.7,79.7,95.12,Smooth
2024-04-26,Afternoon,M019,O050,Cotton,820,627,6.92,11,295.46,26,2.1,32.4,71.2,76.46,Power Cut
2024-01-07,Morning,M005,O041,Blend,842,895,3.83,9,263.88,20,11.6,24.2,77.4,106.29,Smooth
2024-03-10,Morning,M004,O028,Cotton,830,893,1.75,20,305.68,11,4.4,32.6,76.5,107.59,Breakdown
2024-01-14,Night,M012,O028,Cotton,1156,1101,7.21,2,422.49,17,12.4,25.7,49.4,95.24,Breakdown
2024-04-02,Afternoon,M019,O046,Cotton,981,942,4.05,9,337.79,40,15.0,31.3,48.5,96.02,Smooth
2024-03-31,Night,M007,O024,Cotton,1157,932,6.63,33,350.3,38,2.5,32.6,79.1,80.55,Low Quality Yarn
2024-03-31,Afternoon,M020,O038,Blend,978,1061,1.64,3,335.76,45,6.0,28.5,43.5,108.49,Breakdown
2024-01-26,Night,M003,O042,Polyester,995,832,9.81,9,290.66,41,12.4,29.1,51.3,83.62,Breakdown
2024-01-17,Night,M015,O036,Polyester,836,608,0.57,1,386.28,18,12.7,30.4,57.8,72.73,Smooth
2024-04-13,Morning,M014,O048,Blend,1105,1086,7.32,1,418.2,13,5.7,25.9,61.4,98.28,Smooth
2024-04-21,Morning,M005,O046,Cotton,864,949,4.75,16,418.74,32,13.4,29.1,56.4,109.84,Smooth
2024-02-08,Morning,M005,O033,Cotton,933,878,6.3,5,313.34,34,5.1,28.0,60.2,94.11,Low Quality Yarn
2024-03-09,Afternoon,M005,O015,Blend,858,656,9.6,19,336.72,26,2.6,33.1,40.3,76.46,Breakdown
2024-01-07,Morning,M004,O041,Cotton,1088,770,5.87,6,338.02,20,10.9,30.0,57.7,70.77,Smooth
2024-04-20,Morning,M019,O003,Polyester,1158,1149,2.33,16,282.2,22,9.6,31.2,73.2,99.22,Smooth
2024-02-20,Afternoon,M013,O043,Cotton,1134,982,2.58,20,320.12,28,3.5,35.8,65.1,86.6,Smooth
2024-04-14,Afternoon,M005,O020,Blend,1100,927,9.96,6,488.44,43,12.1,28.2,58.0,84.27,Power Cut
2024-03-05,Morning,M018,O045,Blend,968,955,5.86,6,341.95,18,13.8,25.9,53.4,98.66,Smooth
2024-02-13,Night,M012,O042,Blend,1099,1187,5.33,9,296.25,29,1.9,30.4,64.9,108.01,Breakdown
2024-02-01,Morning,M013,O025,Cotton,1172,1029,7.78,2,333.83,48,10.8,26.5,56.8,87.8,Operator Absent
2024-02-09,Night,M013,O049,Blend,1192,1081,0.84,41,288.26,36,2.1,32.9,78.6,90.69,Breakdown
2024-02-06,Night,M013,O027,Blend,805,619,6.48,2,396.56,22,9.4,32.2,75.7,76.89,Low Quality Yarn
2024-03-30,Night,M018,O028,Cotton,868,634,3.31,2,394.88,11,4.0,33.4,51.3,73.04,Breakdown
2024-03-04,Afternoon,M019,O001,Cotton,895,773,2.34,0,286.43,7,10.4,26.3,73.0,86.37,Humidity Issue
2024-02-16,Night,M013,O038,Blend,931,706,1.6,15,325.8,24,5.0,30.4,54.7,75.83,Smooth
2024-02-22,Afternoon,M008,O032,Cotton,1032,1040,8.11,5,343.85,42,7.5,31.8,75.9,100.78,Smooth
2024-04-22,Morning,M014,O045,Polyester,884,939,0.87,27,374.5,16,12.2,31.6,74.0,106.22,Smooth
2024-01-04,Night,M004,O046,Cotton,812,662,9.52,0,356.32,21,9.9,26.5,40.7,81.53,Breakdown
2024-01-02,Morning,M017,O001,Blend,1051,1139,0.45,1,351.88,53,10.2,29.2,72.9,108.37,Low Quality Yarn
2024-02-02,Afternoon,M016,O019,Blend,892,629,5.42,6,310.51,23,7.8,30.0,70.6,70.52,Smooth
2024-04-20,Morning,M020,O046,Cotton,829,741,1.49,10,356.74,25,2.8,29.6,78.5,89.38,Smooth
2024-02-26,Night,M018,O029,Polyester,1116,1012,0.73,9,388.42,43,14.7,28.1,60.1,90.68,Smooth
2024-03-31,Afternoon,M006,O042,Blend,1103,972,7.53,1,449.94,13,6.6,36.1,74.1,88.12,Smooth
2024-04-09,Afternoon,M011,O042,Cotton,807,841,0.99,0,379.23,12,10.9,28.9,44.0,104.21,Smooth
2024-01-05,Morning,M020,O030,Polyester,912,865,3.56,15,383.06,16,10.8,26.2,74.9,94.85,Smooth
2024-03-15,Night,M003,O024,Cotton,1119,840,8.67,9,340.0,13,10.7,26.9,70.4,75.07,Smooth
2024-02-08,Night,M001,O025,Polyester,809,600,5.06,16,351.14,28,8.3,32.2,55.8,74.17,Breakdown
2024-03-03,Morning,M014,O001,Polyester,1145,1189,4.93,6,410.43,51,6.4,29.9,53.3,103.84,Humidity Issue
2024-02-11,Afternoon,M004,O028,Blend,956,857,5.73,2,346.66,20,2.0,34.4,49.6,89.64,Low Quality Yarn
2024-04-16,Morning,M017,O022,Polyester,949,1024,3.05,1,255.4,11,5.2,28.8,61.8,107.9,Smooth
2024-01-11,Morning,M020,O046,Polyester,1179,1085,3.57,5,345.04,22,4.0,31.1,58.3,92.03,Smooth
2024-04-30,Night,M013,O020,Cotton,983,986,2.06,12,347.15,40,5.4,29.0,62.5,100.31,Low Quality Yarn
2024-04-02,Night,M007,O008,Blend,863,674,7.42,0,332.24,30,5.6,31.2,68.9,78.1,Smooth
2024-03-20,Afternoon,M020,O016,Polyester,1150,951,9.06,1,348.56,12,3.3,26.0,77.8,82.7,Breakdown
2024-02-28,Morning,M018,O047,Blend,1009,1100,3.76,25,264.61,41,10.1,31.0,79.6,109.02,Operator Absent
2024-03-08,Morning,M013,O035,Polyester,991,798,6.72,0,352.53,17,2.7,34.5,51.4,80.52,Low Quality Yarn
2024-02-24,Night,M017,O036,Cotton,1141,970,7.56,7,340.08,45,9.7,27.4,72.1,85.01,Operator Absent
2024-02-22,Morning,M004,O021,Cotton,894,792,3.62,1,364.8,13,7.9,31.2,59.5,88.59,Humidity Issue
2024-03-06,Afternoon,M010,O048,Polyester,996,946,9.46,8,318.17,11,3.2,30.2,41.3,94.98,Smooth
2024-03-11,Morning,M020,O047,Blend,1110,1107,7.23,1,336.2,24,4.1,30.8,54.9,99.73,Smooth
2024-01-08,Morning,M008,O008,Cotton,1004,805,4.89,5,323.29,34,7.9,30.5,61.1,80.18,Smooth
